Nome_Protocolo,Dia,Tarefa_Base,Meio_Especifico
Trujillo_200,0,AGREGAR,SF + 20uM Rocki
Trujillo_200,1,Indução Neural D0 (+100uL),SF + 2uM Dorso + 20uM SB
Trujillo_200,2,Indução Neural D1 (- + 130uL),SF + 1uM Dorso + 10uM SB
Trujillo_200,3,Indução Neural D2 (- + 130uL),SF + 1uM Dorso + 10uM SB
Trujillo_200,4,Transferir ~10 CtO/well // Início Meio 1,Meio 1
Trujillo_200,5,-,-
Trujillo_200,6,-,-
Trujillo_200,7,-,-
Trujillo_200,8,-,-
Trujillo_200,9,-,-
Trujillo_200,10,-,-
Trujillo_200,11,Plaquear 5 CtO/Well / Início Meio 2+FGF2,Meio 2 + FGF2
Trujillo_200,12,-,-
Trujillo_200,13,-,-
Trujillo_200,14,-,-
Trujillo_200,15,-,-
Trujillo_200,16,-,-
Trujillo_200,17,-,-
Trujillo_200,18,Adicionar EGF / Início Meio 2+FGF2+EGF,Meio 2 + FGF2+EGF
Trujillo_200,19,-,-
Trujillo_200,20,-,-
Trujillo_200,21,-,-
Trujillo_200,22,-,-
Trujillo_200,23,-,-
Trujillo_200,24,-,-
Trujillo_200,25,Início Meio 3,Meio 3
Trujillo_200,26,-,-
Trujillo_200,27,-,-
Trujillo_200,28,-,-
Trujillo_200,29,-,-
Trujillo_200,30,-,-
Trujillo_200,31,-,-
Trujillo_200,32,Organoides Formados! / Manutenção,Meio 2 (Manutenção)
Trujillo_200,33,-,-
Trujillo_200,34,-,-
Trujillo_200,35,-,-
Trujillo_200,36,-,-
Trujillo_200,37,-,-
Trujillo_200,38,-,-
Trujillo_200,39,-,-
Trujillo_200,40,-,-
Trujillo_200,41,-,-
Trujillo_200,42,-,-
Trujillo_200,43,-,-
Trujillo_200,44,-,-
Trujillo_200,45,-,-
Trujillo_200,46,-,-
Trujillo_200,47,-,-
Trujillo_200,48,-,-
Trujillo_200,49,-,-
Trujillo_200,50,-,-
Trujillo_200,51,-,-
Trujillo_200,52,-,-
Trujillo_200,53,-,-
Trujillo_200,54,-,-
Trujillo_200,55,-,-
Trujillo_200,56,-,-
Trujillo_200,57,-,-
Trujillo_200,58,-,-
Trujillo_200,59,-,-
Trujillo_200,60,-,-
Trujillo_200,61,-,-
Trujillo_200,62,-,-
Trujillo_200,63,-,-
Trujillo_200,64,-,-
Trujillo_200,65,-,-
Trujillo_200,66,-,-
Trujillo_200,67,-,-
Trujillo_200,68,-,-
Trujillo_200,69,-,-
Trujillo_200,70,-,-
Trujillo_200,71,-,-
Trujillo_200,72,-,-
Trujillo_200,73,-,-
Trujillo_200,74,-,-
Trujillo_200,75,-,-
Trujillo_200,76,-,-
Trujillo_200,77,-,-
Trujillo_200,78,-,-
Trujillo_200,79,-,-
Trujillo_200,80,-,-
Trujillo_200,81,-,-
Trujillo_200,82,-,-
Trujillo_200,83,-,-
Trujillo_200,84,-,-
Trujillo_200,85,-,-
Trujillo_200,86,-,-
Trujillo_200,87,-,-
Trujillo_200,88,-,-
Trujillo_200,89,-,-
Trujillo_200,90,-,-
